Date,21-Nov-25
Reference,p 88 E005 cap scale,cap inject 5
w,1.00E+04
r1,-0.113983,0.016387
r2,-0.081583,0.016357
r3,0.090573,-0.138057
r4,0.011073,-0.152057
r5,0.013603,-0.164357
r6,0.012143,-0.140357
r7,0.010363,-0.141017
r8,0.214803,-0.163567
r9,0.011163,-0.150847
r10,0.009163,-0.145777
r11,0.012863,-0.160247
r12,0.002663,-0.157847
r13,-0.418463,-0.154957
r14,-0.327003,-0.106067
r15,-0.157873,-0.103697
Conditions
AH1,29.9,0.029
AH2,29.4,0.029
GRin,23.63237,0.000199
GRout,23.60632,0.000198
AB1,21.05,0.01
Sball,23.45592,0.002913
Perm,23.14318,0.001711
Barom,1019.63,0.01
