Date,22-Dec-20,
Reference, Training run,
w,1.00E+04,
s1,-0.16619,0.14558
s2,0.09321,0.14506
s3,0.11811,0.14332
s4,0.00376,0.14715
s5,0.25838,0.14397
s6,-0.00531,0.14766
s7,-0.09144,0.14624
s8,-0.01971,0.14633
s9,-0.14912,0.14648
s10,-0.19724,0.14582
s11,-0.00674,0.14516
s12,-0.16618,0.14596
factora,"{""xreal"": 1.0003093210681406, ""ximag"": 0.0007497042903003306, ""u"": [2.0026080050565376e-06, 2.0093887803372417e-06], ""v"": [4.010438821916525e-12, 3.584690128696448e-15, 3.584690128696448e-15, 4.037643270545188e-12], ""df"": 10951907.269132093, ""label"": ""factora""}",
factorb,"{""xreal"": 1.0001942917392947, ""ximag"": -0.00023893092658472306, ""u"": [2.2330391770538575e-06, 2.00201396483121e-06], ""v"": [4.986463966257369e-12, -4.1995198984132466e-15, -4.1995198984132466e-15, 4.008059915379181e-12], ""df"": 27564801.454954732, ""label"": ""factorb""}",
za,"{""xreal"": 0.065128, ""ximag"": 0.004269, ""u"": [0.0032564000000000004, 0.00021344999999999998], ""v"": [1.0604140960000004e-05, 0.0, 0.0, 4.556090249999999e-08], ""df"": Infinity, ""label"": ""za""}",
ya,"{""xreal"": 5e-11, ""ximag"": 6.491500000000001e-07, ""u"": [2.5000000000000003e-12, 3.2457500000000005e-08], ""v"": [6.250000000000001e-24, 0.0, 0.0, 1.0534893062500002e-15], ""df"": Infinity, ""label"": ""ya""}",
zinta,"{""xreal"": 0.02606, ""ximag"": 0.002417, ""u"": [0.0013030000000000001, 0.00012085], ""v"": [1.6978090000000003e-06, 0.0, 0.0, 1.46047225e-08], ""df"": Infinity, ""label"": ""zinta""}",
y3,"{""xreal"": 2.09e-10, ""ximag"": 6.0527e-08, ""u"": [1.045e-11, 3.02635e-09], ""v"": [1.092025e-22, 0.0, 0.0, 9.1587943225e-18], ""df"": Infinity, ""label"": ""y3""}",
y4Y2,"{""xreal"": 6.4e-09, ""ximag"": 3.1817999999999998e-06, ""u"": [3.2000000000000003e-10, 1.5908999999999998e-07], ""v"": [1.0240000000000002e-19, 0.0, 0.0, 2.5309628099999993e-14], ""df"": Infinity, ""label"": ""y4Y2""}",
zb,"{""xreal"": 0.065498, ""ximag"": 0.0043300000000000005, ""u"": [0.0032749000000000003, 0.0002165], ""v"": [1.0724970010000003e-05, 0.0, 0.0, 4.6872250000000005e-08], ""df"": Infinity, ""label"": ""zb""}",
yb,"{""xreal"": 5e-11, ""ximag"": 6.438e-07, ""u"": [2.5000000000000003e-12, 3.219e-08], ""v"": [6.250000000000001e-24, 0.0, 0.0, 1.0361960999999999e-15], ""df"": Infinity, ""label"": ""yb""}",
zintb,"{""xreal"": 0.4169999999999998, ""ximag"": 0.002515, ""u"": [0.020849999999999994, 0.00012575], ""v"": [0.00043472249999999975, 0.0, 0.0, 1.58130625e-08], ""df"": Infinity, ""label"": ""zintb""}",
y1,"{""xreal"": 2.09e-10, ""ximag"": 6.0527e-08, ""u"": [1.045e-11, 3.02635e-09], ""v"": [1.092025e-22, 0.0, 0.0, 9.1587943225e-18], ""df"": Infinity, ""label"": ""y1""}",
y2Y1,"{""xreal"": 7.41e-10, ""ximag"": 4.0168e-07, ""u"": [3.7050000000000004e-11, 2.0084e-08], ""v"": [1.3727025000000002e-21, 0.0, 0.0, 4.03367056e-16], ""df"": Infinity, ""label"": ""y2Y1""}",
