"Components of permutable capacitor circuit, assembled 9 August 2021"
za,"{""xreal"": 0.065128, ""ximag"": 0.004269, ""u"": [0.0032564000000000004, 0.00021344999999999998], ""v"": [1.0604140960000004e-05, 0.0, 0.0, 4.556090249999999e-08], ""df"": Infinity, ""label"": ""za""}"
ya,"{""xreal"": 5e-11, ""ximag"": 6.491500000000001e-07, ""u"": [2.5000000000000003e-12, 3.2457500000000005e-08], ""v"": [6.250000000000001e-24, 0.0, 0.0, 1.0534893062500002e-15], ""df"": Infinity, ""label"": ""ya""}"
zinta,"{""xreal"": 0.02606, ""ximag"": 0.002417, ""u"": [0.0013030000000000001, 0.00012085], ""v"": [1.6978090000000003e-06, 0.0, 0.0, 1.46047225e-08], ""df"": Infinity, ""label"": ""zinta""}"
y3,"{""xreal"": 2.09e-10, ""ximag"": 6.0527e-08, ""u"": [1.045e-11, 3.02635e-09], ""v"": [1.092025e-22, 0.0, 0.0, 9.1587943225e-18], ""df"": Infinity, ""label"": ""y3""}"
y4Y2,"{""xreal"": 6.4e-09, ""ximag"": 3.1817999999999998e-06, ""u"": [3.2000000000000003e-10, 1.5908999999999998e-07], ""v"": [1.0240000000000002e-19, 0.0, 0.0, 2.5309628099999993e-14], ""df"": Infinity, ""label"": ""y4Y2""}"
zb,"{""xreal"": 0.065498, ""ximag"": 0.0043300000000000005, ""u"": [0.0032749000000000003, 0.0002165], ""v"": [1.0724970010000003e-05, 0.0, 0.0, 4.6872250000000005e-08], ""df"": Infinity, ""label"": ""zb""}"
yb,"{""xreal"": 5e-11, ""ximag"": 6.438e-07, ""u"": [2.5000000000000003e-12, 3.219e-08], ""v"": [6.250000000000001e-24, 0.0, 0.0, 1.0361960999999999e-15], ""df"": Infinity, ""label"": ""yb""}"
zintb,"{""xreal"": 0.4169999999999998, ""ximag"": 0.002515, ""u"": [0.020849999999999994, 0.00012575], ""v"": [0.00043472249999999975, 0.0, 0.0, 1.58130625e-08], ""df"": Infinity, ""label"": ""zintb""}"
y1,"{""xreal"": 2.09e-10, ""ximag"": 6.0527e-08, ""u"": [1.045e-11, 3.02635e-09], ""v"": [1.092025e-22, 0.0, 0.0, 9.1587943225e-18], ""df"": Infinity, ""label"": ""y1""}"
y2Y1,"{""xreal"": 7.41e-10, ""ximag"": 4.0168e-07, ""u"": [3.7050000000000004e-11, 2.0084e-08], ""v"": [1.3727025000000002e-21, 0.0, 0.0, 4.03367056e-16], ""df"": Infinity, ""label"": ""y2Y1""}"
pc1,10.000144
pc2,10.000304
pc3,10.000218
pc4,10.000151
pc5,10.0002
pc6,10.000138
pc7,9.9998906
pc8,10.00013
pc9,10.000025
pc10,10.000043
pc11,10.000277
